# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 860
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.29789 eV
131     0.000729       0.000000       0.000000       0.000000       0.000729       
135     0.000144       0.000000       0.000004       0.000001       0.000149       
168     0.000225       0.000000       0.000000       0.000000       0.000225       
tot     0.004389       0.000191       0.000240       0.000518       0.993000

Band 40   energy = -3.31931 eV
atom    s              p_x            p_y            p_z            tot            
18      0.000324       0.000000       0.000000       0.000000       0.000324       
19      0.000169       0.000000       0.000001       0.000000       0.000170       
103     0.000196       0.000004       0.000004       0.000004       0.000208       
108     0.000841       0.000000       0.000000       0.000000       0.000841       
127     0.000169       0.000000       0.000000       0.000000       0.000169       
192     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.004303       0.000394       0.000323       0.000154       0.993000

Band 41   energy = -3.29580 eV
atom    s              p_x            p_y            p_z            tot            
136     0.000361       0.000000       0.000000       0.000001       0.000362       
148     0.000361       0.000004       0.000000       0.000000       0.000365       
167     0.000361       0.000000       0.000000       0.000001       0.000362       
177     0.000361       0.000000       0.000004       0.000000       0.000365       
189     0.000361       0.000000       0.000001       0.000000       0.000362       
191     0.000361       0.000004       0.000000       0.000000       0.000365       
tot     0.005538       0.000438       0.000492       0.000279       0.994000

Band 42   energy = -3.29311 eV
atom    s              p_x            p_y            p_z            tot            
23      0.000256       0.000004       0.000004       0.000000       0.000264       
38      0.000256       0.000004       0.000000       0.000004       0.000264       
67      0.000256       0.000000       0.000004       0.000000       0.000260       
90      0.000484       0.000001       0.000000       0.000009       0.000494       
116     0.000729       0.000000       0.000000       0.000009       0.000738       
125     0.000625       0.000000       0.000000       0.000000       0.000625       
tot     0.004736       0.000236       0.000219       0.000395       0.994000

Band 43   energy = -3.29255 eV
atom    s              p_x            p_y            p_z            tot            
30      0.000361       0.000016       0.000000       0.000009       0.000386       
84      0.000225       0.000001       0.000000       0.000004       0.000230       
92      0.000484       0.000000       0.000000       0.000004       0.000488       
110     0.000484       0.000000       0.000000       0.000016       0.000500       
118     0.000256       0.000000       0.000000       0.000009       0.000265       
176     0.000400       0.000000       0.000000       0.000016       0.000416       
tot     0.004289       0.000095       0.000352       0.000447       0.994000

Band 44   energy = -3.29254 eV
atom    s              p_x            p_y            p_z            tot            
27      0.000289       0.000000       0.000000       0.000025       0.000314       
94      0.000196       0.000004       0.000000       0.000000       0.000200       
103     0.000361       0.000001       0.000000       0.000000       0.000362       
129     0.000196       0.000004       0.000000       0.000001       0.000201       
133     0.000361       0.000009       0.000001       0.000000       0.000371       
188     0.000289       0.000004       0.000000       0.000000       0.000293       
tot     0.004338       0.000549       0.000130       0.000276       0.994000

Band 45   energy = -3.28723 eV
atom    s              p_x            p_y            p_z            tot            
99      0.001849       0.000000       0.000000       0.000000       0.001849       
112     0.000100       0.000000       0.000000       0.000000       0.000100       
116     0.000784       0.000000       0.000000       0.000000       0.000784       
125     0.000100       0.000001       0.000000       0.000016       0.000117       
143     0.000049       0.000001       0.000100       0.000000       0.000150       
170     0.000049       0.000081       0.000000       0.000004       0.000134       
tot     0.004840       0.000411       0.000507       0.000187       0.994000

Band 46   energy = -3.28559 eV
atom    s              p_x            p_y            p_z            tot            
44      0.000289       0.000000       0.000000       0.000000       0.000289       
69      0.000961       0.000000       0.000000       0.000000       0.000961       
139     0.000441       0.000000       0.000000       0.000000       0.000441       
145     0.000144       0.000009       0.000000       0.000025       0.000178       
207     0.000196       0.000000       0.000000       0.000000       0.000196       
209     0.000196       0.000000       0.000000       0.000000       0.000196       
tot     0.004698       0.000252       0.000177       0.000346       0.994000

Band 47   energy = -3.28559 eV
atom    s              p_x            p_y            p_z            tot            
5       0.000961       0.000000       0.000000       0.000000       0.000961       
44      0.000256       0.000000       0.000000       0.000000       0.000256       
86      0.000144       0.000000       0.000000       0.000036       0.000180       
134     0.000196       0.000000       0.000000       0.000000       0.000196       
146     0.000196       0.000000       0.000000       0.000000       0.000196       
192     0.000441       0.000000       0.000000       0.000000       0.000441       
tot     0.004649       0.000260       0.000307       0.000362       0.994000

Band 48   energy = -3.27924 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000625       0.000000       0.000000       0.000000       0.000625       
23      0.000144       0.000000       0.000000       0.000001       0.000145       
49      0.000289       0.000000       0.000000       0.000000       0.000289       
86      0.000256       0.000000       0.000000       0.000004       0.000260       
205     0.000144       0.000000       0.000000       0.000036       0.000180       
206     0.000361       0.000000       0.000000       0.000001       0.000362       
tot     0.004302       0.000304       0.000188       0.000325       0.994000

Band 49   energy = -3.27924 eV
atom    s              p_x            p_y            p_z            tot            
67      0.000169       0.000000       0.000000       0.000000       0.000169       
74      0.000784       0.000000       0.000000       0.000000       0.000784       
95      0.000289       0.000000       0.000009       0.000000       0.000298       
115     0.000169       0.000000       0.000000       0.000000       0.000169       
143     0.000441       0.000000       0.000001       0.000000       0.000442       
159     0.000169       0.000000       0.000025       0.000001       0.000195       
tot     0.004328       0.000301       0.000544       0.000122       0.994000

Band 50   energy = -3.27434 eV
atom    s              p_x            p_y            p_z            tot            
151     0.000289       0.000000       0.000000       0.000000       0.000289       
154     0.000289       0.000000       0.000000       0.000000       0.000289       
178     0.000289       0.000000       0.000000       0.000000       0.000289       
185     0.000289       0.000000       0.000000       0.000001       0.000290       
190     0.000289       0.000000       0.000001       0.000000       0.000290       
