# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 860
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.24938 eV
162     0.000729       0.000000       0.000000       0.000000       0.000729       
170     0.000484       0.000009       0.000000       0.000000       0.000493       
tot     0.004591       0.000282       0.000450       0.000184       0.994000

Band 50   energy = -3.27950 eV
atom    s              p_x            p_y            p_z            tot            
9       0.000576       0.000000       0.000001       0.000000       0.000577       
91      0.000400       0.000001       0.000001       0.000000       0.000402       
117     0.000196       0.000000       0.000000       0.000064       0.000260       
129     0.000169       0.000001       0.000004       0.000000       0.000174       
184     0.000324       0.000000       0.000000       0.000000       0.000324       
205     0.001089       0.000000       0.000000       0.000000       0.001089       
tot     0.004984       0.000286       0.000229       0.000490       0.994000

Band 51   energy = -3.27949 eV
atom    s              p_x            p_y            p_z            tot            
63      0.000576       0.000000       0.000004       0.000000       0.000580       
100     0.000400       0.000000       0.000000       0.000004       0.000404       
120     0.000169       0.000000       0.000004       0.000000       0.000173       
126     0.000196       0.000000       0.000036       0.000004       0.000236       
159     0.001089       0.000000       0.000000       0.000000       0.001089       
184     0.000324       0.000000       0.000000       0.000000       0.000324       
tot     0.004997       0.000358       0.000431       0.000233       0.994000

Band 52   energy = -3.27274 eV
atom    s              p_x            p_y            p_z            tot            
23      0.000256       0.000001       0.000004       0.000000       0.000261       
38      0.000256       0.000009       0.000000       0.000001       0.000266       
67      0.000256       0.000000       0.000009       0.000000       0.000265       
90      0.000576       0.000004       0.000000       0.000016       0.000596       
116     0.001225       0.000000       0.000000       0.000004       0.001229       
125     0.000676       0.000000       0.000000       0.000000       0.000676       
tot     0.005100       0.000271       0.000236       0.000426       0.994000

Band 53   energy = -3.26918 eV
atom    s              p_x            p_y            p_z            tot            
11      0.000169       0.000000       0.000000       0.000000       0.000169       
13      0.000169       0.000000       0.000000       0.000000       0.000169       
40      0.000169       0.000000       0.000000       0.000000       0.000169       
50      0.000169       0.000000       0.000000       0.000000       0.000169       
65      0.000169       0.000000       0.000000       0.000000       0.000169       
77      0.000169       0.000000       0.000000       0.000000       0.000169       
tot     0.004638       0.000401       0.000491       0.000140       0.994000

Band 54   energy = -3.26747 eV
atom    s              p_x            p_y            p_z            tot            
16      0.000256       0.000000       0.000000       0.000004       0.000260       
31      0.000256       0.000004       0.000000       0.000000       0.000260       
51      0.000256       0.000004       0.000000       0.000000       0.000260       
56      0.000256       0.000000       0.000004       0.000000       0.000260       
109     0.000256       0.000000       0.000004       0.000000       0.000260       
111     0.000256       0.000004       0.000000       0.000000       0.000260       
tot     0.005251       0.000305       0.000257       0.000475       0.994000

Band 55   energy = -3.25511 eV
atom    s              p_x            p_y            p_z            tot            
1       0.000289       0.000001       0.000000       0.000001       0.000291       
32      0.000324       0.000000       0.000009       0.000000       0.000333       
59      0.000256       0.000009       0.000000       0.000000       0.000265       
107     0.000169       0.000000       0.000004       0.000036       0.000209       
158     0.000196       0.000001       0.000000       0.000001       0.000198       
214     0.001521       0.000000       0.000000       0.000000       0.001521       
tot     0.005250       0.000311       0.000366       0.000217       0.994000

Band 56   energy = -3.25509 eV
atom    s              p_x            p_y            p_z            tot            
15      0.000289       0.000009       0.000000       0.000000       0.000298       
